,x,y,Power (MW),Std. Dev.
92,0,5,1.9710775032669468,7.057056906784574e-05
93,1,5,1.5960294140221472,6.433412922735794e-05
94,2,5,1.269138511147528,6.257531158113733e-05
95,3,5,1.066414898996877,4.6666317405188616e-05
96,-7,6,1.494910125045703,6.629958444632811e-05
97,-6,6,1.6132287192082921,3.7656170455952453e-05
98,-5,6,1.6960628632354642,5.210135518474493e-05
99,-3,6,1.7931683031161305,4.607966921111657e-05
100,-1,6,1.7967253840860302,6.132448989115577e-05
101,0,6,1.6293499515813874,6.647603248664578e-05
102,1,6,1.4637056549120875,8.536522883799603e-05
103,-7,7,1.3570717218429917,5.757710284123567e-05
104,-6,7,1.4201424968181395,5.183212149723727e-05
105,-5,7,1.483060045384935,4.9251481018842494e-05
106,-4,7,1.4680988504941161,4.195147643116899e-05
107,-3,7,1.5155575357862587,5.947972437257412e-05
108,-2,7,1.4914526925050897,6.341773574144095e-05
109,-1,7,1.5158920327143057,7.804810701830346e-05
110,0,7,1.3527431804060341,7.054102626599128e-05
111,-5,8,1.28582326056882,6.871386520547735e-05
112,-4,8,1.2249809483594543,5.2892420181792884e-05
113,-3,8,1.3393419904852808,7.553421906388667e-05
